type,name,canonical,ttl,comment,disabled,zone
cname,autodiscover.inventx.ch,autodiscover.outlook.com,300,,False,inventx.ch
cname,chatty.inventx.ch,p-app-ix-ai-01.azurewebsites.net,14400,,False,inventx.ch
cname,connect.inventx.ch,gw.prod.contactify.app,14400,,False,inventx.ch
cname,s1._domainkey.connect.inventx.ch,s1.domainkey.u20966946.wl197.sendgrid.net,14400,,False,inventx.ch
cname,s2._domainkey.connect.inventx.ch,s2.domainkey.u20966946.wl197.sendgrid.net,14400,,False,inventx.ch
cname,em737.connect.inventx.ch,u20966946.wl197.sendgrid.net,14400,,False,inventx.ch
cname,connect-test.inventx.ch,gw.stage.contactify.app,14400,,False,inventx.ch
cname,s1._domainkey.connect-test.inventx.ch,s1.domainkey.u20966946.wl197.sendgrid.net,14400,,False,inventx.ch
cname,s2._domainkey.connect-test.inventx.ch,s2.domainkey.u20966946.wl197.sendgrid.net,14400,,False,inventx.ch
cname,em8069.connect-test.inventx.ch,u20966946.wl197.sendgrid.net,14400,,False,inventx.ch
cname,enterpriseenrollment.inventx.ch,EnterpriseEnrollment-s.manage.microsoft.com,14400,,False,inventx.ch
cname,enterpriseregistration.inventx.ch,EnterpriseRegistration.windows.net,14400,,False,inventx.ch
cname,ixquiz.inventx.ch,p-app-ixi-quiz-frontend-gkh6b4hfb8c4d2ac.switzerlandnorth-01.azurewebsites.net,14400,,False,inventx.ch
cname,api.ixquiz.inventx.ch,p-app-ixi-quiz-api-dadyefdrhje5duab.switzerlandnorth-01.azurewebsites.net,14400,,False,inventx.ch
cname,login.inventx.ch,36032be3-d845-4a15-92db-c5f9ca5ce4be.edge1.pingone.eu,14400,,False,inventx.ch
cname,owa.inventx.ch,ixmail.inventx.ch,14400,,False,inventx.ch
cname,public-artifactory.inventx.ch,ix-public-artifactory.westeurope.cloudapp.azure.com,14400,,False,inventx.ch
cname,public-registry.inventx.ch,ix-public-registry.westeurope.cloudapp.azure.com,14400,,False,inventx.ch
cname,www.inventx.com,inventx.ch,14400,,False,inventx.com
cname,www.inventx.li,inventx.ch,28800,,False,inventx.li
cname,www.inventx.swiss,inventx.ch,14400,,False,inventx.swiss
cname,login.ixcloud.ch,6cf7231e-30f5-4b00-96d5-4ce3dbf723fa.edge1.pingone.eu,3600,,False,ixcloud.ch
cname,public-registry.ixcloud.ch,registry-ix.westeurope.cloudapp.azure.com,3600,,False,ixcloud.ch
cname,login.ixofp.ch,0c50405a-fbe0-4656-9ea2-732945925099.edge1.pingone.eu,14400,,False,ixofp.ch
cname,www.corpsite.kpt-dev.ch,corpsite.kpt-dev.ch,28800,,False,kpt-dev.ch
cname,www.krankenversicherung-visana.ch,krankenversicherung-visana.ch,14400,,False,krankenversicherung-visana.ch
cname,www.my-visana.ch,my-visana.ch,14400,,False,my-visana.ch
cname,www.mypoints.ch,mypoints.ch,14400,,False,mypoints.ch
cname,www.myvisana.ch,myvisana.ch,14400,,False,myvisana.ch
cname,lyncdiscover.pbihag.ch,webdir.online.lync.com,3600,,False,pbihag.ch
cname,sip.pbihag.ch,sipdir.online.lync.com,3600,,False,pbihag.ch
