type,name,text,ttl,comment,disabled,zone
txt,inventx.ch,"""m+DOOn6uedR/39K8tLPw6bMS6TM4WzSUT0oGdC0w+GQuBuby2J9zKaNFodMRSL/vinIGOp+DH/xD6ZHG4YGhHw==""",14400,,False,inventx.ch
txt,inventx.ch,"""atlassian-domain-verification=UvIGhO6/JtTlWC2c7KUDi85ILAr3v7M5nvP/Tz5s8J8P8kgWPFKsu/hSjrn7PY/m""",14400,,False,inventx.ch
txt,inventx.ch,"""MS=ms18313091""",14400,,False,inventx.ch
txt,inventx.ch,"""v=spf1 a mx ip4:185.178.60.8 ip4:185.178.60.9 include:servers.mcsv.net include:spf.protection.outlook.com include:spf.emailsignatures365.com ip4:93.189.64.0/22 -all""",14400,,False,inventx.ch
txt,inventx.ch,"""swisssign-check=wDSHgJ_wKgPK92GY1HgZOeIC-og""",14400,,False,inventx.ch
txt,inventx.ch,"""atlassian-domain-verification=ym2spyA2tt9fJFySsTAqWKussskyQh8LpnlyifhlobixNt1ONhjl9WBDf3M8We9X""",14400,,False,inventx.ch
txt,s1-ix-mx._domainkey.inventx.ch,"""""v=DKIM1""",14400,,False,inventx.ch
txt,asuid.chatty.inventx.ch,"""72C1F77829EBAA6DEABC5802227CC9D007EBEA8B66A471E500DA57C1F21A472A""",3600,,False,inventx.ch
txt,_dmarc.connect.inventx.ch,"""""v=DMARC1""",14400,,False,inventx.ch
txt,_dmarc.connect-test.inventx.ch,"""""v=DMARC1""",14400,,False,inventx.ch
txt,asuid.api.ixquiz.inventx.ch,"""477C3E076E28B7260055B514FA1E5D303B18798B5B944B31306CCFBE724608BD""",14400,,False,inventx.ch
txt,asuid.ixquiz.inventx.ch,"""477C3E076E28B7260055B514FA1E5D303B18798B5B944B31306CCFBE724608BD""",14400,,False,inventx.ch
txt,mx1.inventx.ch,"""v=spf1 include:inventx.ch ~all""",14400,,False,inventx.ch
txt,mx2.inventx.ch,"""v=spf1 include:inventx.ch ~all""",14400,,False,inventx.ch
txt,splashtop-sso-challenge-20240424.inventx.ch,"""350a75f163a1d0c2c18262daa1e12435""",14400,,False,inventx.ch
txt,splashtop-sso-challenge-230924.inventx.ch,"""z8c261f672bf0d9d7488b41e938ed929""",14400,,False,inventx.ch
txt,vpn2corp-test.inventx.ch,"""_6fe4zkutghzb57d3oq2knjjxl43p262""",14400,,False,inventx.ch
txt,www.vpn2corp-test.inventx.ch,"""_8qx1bhubgmkswq1rf84mqshqmdryhrn""",14400,,False,inventx.ch
txt,\@.ixacademy.ch,"""MS=ms80214337""",14400,,False,ixacademy.ch
txt,ixcloud.ch,"""v=spf1 mx -all""",3600,,False,ixcloud.ch
txt,ixcloud.ch,"""MS=ms48576203""",3600,,False,ixcloud.ch
txt,_amazonses.login.ixcloud.ch,"""XRf7bJbP/LN0H0pGJkEJv5ZEn5ep6DsJUYSFQdpHGIg=""",3600,,False,ixcloud.ch
