type,name,address,ttl,comment,disabled,zone
a,wp-test.ixcloud.ch,185.178.60.119,3600,,False,ixcloud.ch
a,api.ixofp.ch,185.178.62.122,120,,False,ixofp.ch
a,api-test.ixofp.ch,185.178.62.123,120,,False,ixofp.ch
a,nkb-backend.db4kids.ixofp.ch.ixofp.ch,185.178.61.156,120,,False,ixofp.ch
a,datarobot.ixofp.ch,185.178.61.8,14400,,False,ixofp.ch
a,api.db4kids.ixofp.ch,185.178.62.32,14400,,False,ixofp.ch
a,api-test.db4kids.ixofp.ch,185.178.60.129,14400,,False,ixofp.ch
a,app.db4kids.ixofp.ch,185.178.62.57,14400,,False,ixofp.ch
a,app-test.db4kids.ixofp.ch,185.178.62.56,14400,,False,ixofp.ch
a,db4kids-authentication-tst.db4kids.ixofp.ch,185.178.61.157,14400,,False,ixofp.ch
a,gkb-mobile.db4kids.ixofp.ch,185.178.61.156,14400,,False,ixofp.ch
a,gkb-mobile-tst.db4kids.ixofp.ch,185.178.61.157,14400,,False,ixofp.ch
a,gkb-parents.db4kids.ixofp.ch,185.178.61.156,14400,,False,ixofp.ch
a,gkb-parents-tst.db4kids.ixofp.ch,185.178.61.157,14400,,False,ixofp.ch
a,ix-parents-tst.db4kids.ixofp.ch,185.178.61.157,900,,False,ixofp.ch
a,mobile.db4kids.ixofp.ch,185.178.61.156,14400,,False,ixofp.ch
a,mobile-backend-tst.db4kids.ixofp.ch,185.178.61.48,14400,,False,ixofp.ch
a,mobile-tst.db4kids.ixofp.ch,185.178.61.157,14400,,False,ixofp.ch
a,nkb-parents.db4kids.ixofp.ch,185.178.61.156,14400,,False,ixofp.ch
a,nkb-parents-tst.db4kids.ixofp.ch,185.178.61.157,14400,,False,ixofp.ch
a,sgkb-backend.db4kids.ixofp.ch,185.178.61.156,14400,,False,ixofp.ch
a,sgkb-parents.db4kids.ixofp.ch,185.178.61.156,14400,,False,ixofp.ch
a,sgkb-parents-tst.db4kids.ixofp.ch,185.178.61.157,14400,,False,ixofp.ch
a,web.db4kids.ixofp.ch,185.178.61.156,14400,,False,ixofp.ch
a,web-tst.db4kids.ixofp.ch,185.178.61.157,14400,,False,ixofp.ch
a,devportal.ixofp.ch,185.178.61.155,600,,False,ixofp.ch
a,onboarding-dev.gkb.ixofp.ch,185.178.61.47,14400,,False,ixofp.ch
a,admin.onboarding-dev.gkb.ixofp.ch,185.178.61.47,14400,,False,ixofp.ch
a,*.ipfrauddetection.ixofp.ch,185.178.61.12,14400,,False,ixofp.ch
a,logismata.ixofp.ch,51.103.154.50,14400,,False,ixofp.ch
a,logismata-test.ixofp.ch,20.203.232.130,14400,,False,ixofp.ch
a,secuchat.ixofp.ch,185.178.62.81,14400,,False,ixofp.ch
a,tst.secuchat.ixofp.ch,185.178.62.82,14400,,False,ixofp.ch
